Location,Borough,Date Installed
10th Avenue and 73rd Street,Brooklyn,7/28/2020
11th Avenue and 71st Street,Brooklyn,2/4/2021
11th Avenue and Ovington Avenue,Brooklyn,1/23/2021
14th Avenue and 36th Street (New York Industries for the Blind),Brooklyn,8/18/2013
17th Avenue and 72nd Street ,Brooklyn,4/12/2020
17th Avenue and 78th Street,Brooklyn,4/5/2021
17th Avenue at 73rd Street ,Brooklyn,3/31/2020
18th Avenue and 54th Street ,Brooklyn,4/7/2020
18th Avenue and 65th Street,Brooklyn,6/2/2022
18th Avenue and East 8th Street,Brooklyn,1/13/2021
20th Avenue and 64th Street,Brooklyn,9/17/2021
3rd Avenue and 16th Street,Brooklyn,5/25/2021
3rd Avenue and 33rd Street,Brooklyn,10/23/2015
3rd Avenue and 59th Street,Brooklyn,10/10/2020
3rd Avenue at 9th Street,Brooklyn,1/14/2020
4th Avenue and 240' South of 3rd Street (mid-block),Brooklyn,4/11/2019
4th Avenue and 36th Street,Brooklyn,3/29/2016
4th Avenue and 39th Street,Brooklyn,10/15/2015
4th Avenue and 44th Street,Brooklyn,10/21/2015
4th Avenue and 45th Street,Brooklyn,10/26/2015
4th Avenue and 54th Street,Brooklyn,10/21/2015
4th Avenue and 55th Street,Brooklyn,10/22/2015
4th Avenue and 59th Street,Brooklyn,1/6/2016
4th Avenue and 60th Street,Brooklyn,4/17/2017
4th Avenue and 9th Street,Brooklyn,10/26/2015
4th Avenue and Union Street,Brooklyn,10/18/2016
5th Avenue and 24th Street,Brooklyn,11/24/2021
5th Avenue and 3rd Street,Brooklyn,6/24/2022
5th Avenue and 89th Street,Brooklyn,12/12/2012
65th Street and Dahill Road,Brooklyn,1/6/2021
7th Avenue and 81st Street,Brooklyn,3/9/2020
7th Avenue and Sterling Place,Brooklyn,5/27/2022
86th Street and 19th Avenue,Brooklyn,9/20/2019
86th Street and Avenue W,Brooklyn,5/11/2022
86th Street and Battery Avenue,Brooklyn,9/10/2019
86th Street and Bay 22nd Street,Brooklyn,10/27/2015
86th Street and Bay 34th Street,Brooklyn,5/12/2022
86th Street and Fort Hamilton Parkway,Brooklyn,4/16/2019
86th Street and Van Sicklen Street,Brooklyn,6/4/2021
86th Street and West 6th Street,Brooklyn,7/16/2021
86th Street between 4th Avenue and 5th Avenue,Brooklyn,2/22/2016
86th Street between West 8th Street and West 9th Street (mid-block) ,Brooklyn,12/12/2018
"86th Street with McDonald Avenue, Avenue X and Shell Road",Brooklyn,8/4/2021
87th Street between 4th Avenue and 5th Avenue (mid-block),Brooklyn,3/15/2019
8th Avenue and 67th Street,Brooklyn,5/14/2021
8th Avenue and Windsor Place,Brooklyn,4/29/2022
9th Avenue and 42nd Street,Brooklyn,11/4/2021
Adams Street between Fulton Street and Johnson Street (mid-block),Brooklyn,2/21/2012
Adams Street/Boerum Place and Fulton Street,Brooklyn,4/25/2012
Adams Street/Boerum Place and Livingston Street,Brooklyn,5/9/2012
Atlantic Avenue and 134th Street,Brooklyn,11/3/2020
Atlantic Avenue and 3rd Avenue,Brooklyn,9/10/2018
Atlantic Avenue and Boerum Place,Brooklyn,4/25/2012
Atlantic Avenue and Bond Street,Brooklyn,11/26/2013
Atlantic Avenue and Brooklyn Avenue,Brooklyn,8/8/2018
Atlantic Avenue and Classon Avenue,Brooklyn,8/3/2019
Atlantic Avenue and Clermont Avenue,Brooklyn,9/18/2018
Atlantic Avenue and Franklin Avenue,Brooklyn,12/11/2020
Atlantic Avenue and Hoyt Street,Brooklyn,5/23/2013
Atlantic Avenue and Kingston Avenue,Brooklyn,7/8/2019
Atlantic Avenue and Nevins Street,Brooklyn,9/19/2012
Atlantic Avenue and Nostrand Avenue,Brooklyn,8/29/2019
Atlantic Avenue and Sheridan Avenue/Nichols Avenue,Brooklyn,4/14/2021
Atlantic Avenue and Smith Street,Brooklyn,8/15/2013
Atlantic Avenue and Van Siclen Avenue,Brooklyn,9/8/2021
Atlantic Avenue and Waverly Avenue,Brooklyn,8/25/2020
Atlantic Avenue with East New York Avenue and Williams Place,Brooklyn,11/26/2019
Avenue C and East 7th Street,Brooklyn,10/26/2020
Avenue I and East 13th Street,Brooklyn,12/13/2019
Avenue I and East 21st Street,Brooklyn,7/18/2020
Avenue I and East 52nd Street ,Brooklyn,12/30/2019
Avenue J and East 27th Street,Brooklyn,8/16/2017
Avenue J and East 2nd Street,Brooklyn,5/19/2021
Avenue J and East 31st Street,Brooklyn,10/20/2020
Avenue K and East 22nd Street,Brooklyn,2/2/2022
Avenue K and East 27th Street ,Brooklyn,4/6/2022
Avenue K and East 29th Street,Brooklyn,6/22/2018
Avenue K and East 34th Street,Brooklyn,1/28/2022
Avenue K and East 7th Street,Brooklyn,8/27/2021
Avenue K and East 95th Street,Brooklyn,7/2/2021
Avenue K and New York Avenue,Brooklyn,4/15/2021
Avenue K at East 23rd Street,Brooklyn,6/30/2020
Avenue K at East 32nd Street,Brooklyn,10/25/2019
Avenue M and East 24th Street,Brooklyn,5/12/2022
Avenue M and East 26th Street ,Brooklyn,4/22/2021
Avenue M and East 28th Street,Brooklyn,4/28/2021
Avenue O at East 2nd Street,Brooklyn,9/26/2020
Avenue R and East 15th Street,Brooklyn,3/6/2020
Avenue S at West 7th Street,Brooklyn,1/9/2020
Avenue T and East 24th Street,Brooklyn,2/4/2020
Avenue T and East 26th Street ,Brooklyn,1/22/2021
Avenue U and Ocean Avenue,Brooklyn,6/29/2016
Avenue U at East 2nd Street,Brooklyn,6/9/2020
Avenue V and East 8th Street,Brooklyn,5/28/2020
Avenue V at Coyle Street,Brooklyn,6/9/2020
Avenue V with Gravesend Neck Road and East 23rd Street,Brooklyn,6/13/2020
Avenue X and Brown Street,Brooklyn,6/5/2018
Avenue X and East 22nd Street,Brooklyn,2/24/2020
Avenue Y and East 26th Street,Brooklyn,8/17/2017
Avenue Y and East 29th Street,Brooklyn,6/15/2018
Avenue Z and East 6th Street,Brooklyn,12/12/2016
Bay Parkway with Avenue J and East 4th Street,Brooklyn,1/2/2020
Bedford Avenue and Lafayette Avenue,Brooklyn,12/2/2016
Bedford Avenue between Avenue I and Campus Road (mid-block),Brooklyn,1/5/2012
Benson Avenue and Bay 26th Street,Brooklyn,11/7/2020
Benson Avenue at Bay 25th Street,Brooklyn,1/6/2020
Beverley Road and East 54th Street,Brooklyn,2/17/2022
Blake Avenue with Howard Avenue and Tapscott Street,Brooklyn,1/12/2022
Boerum Place and Schermerhorn Street,Brooklyn,8/28/2012
Boerum Place and State Street,Brooklyn,11/26/2013
Brighton Beach Avenue and Brighton 2nd Street,Brooklyn,3/16/2022
Brighton Beach Avenue and Brighton 4th Street,Brooklyn,2/28/2022
Brighton Beach Avenue and Coney Island Avenue,Brooklyn,3/1/2018
Broadway and Bartlett Street,Brooklyn,1/12/2021
Broadway and Hewes Street,Brooklyn,3/21/2021
Broadway and Melrose Street,Brooklyn,10/7/2021
Broadway and Park Street,Brooklyn,4/27/2022
Buffalo Avenue and Saint Marks Avenue,Brooklyn,1/19/2021
Bushwick Avenue and Johnson Avenue,Brooklyn,3/11/2021
Bushwick Avenue and Moore Street,Brooklyn,4/23/2021
Cadman Plaza West and Montague Street,Brooklyn,4/11/2013
Caton Avenue and East 8th Street,Brooklyn,9/11/2018
Caton Avenue with East 17th Street and Parade Place,Brooklyn,1/24/2020
Central Avenue and Jefferson Avenue,Brooklyn,2/25/2021
Central Avenue and Madison Street,Brooklyn,2/26/2021
Central Avenue and Stanhope Street,Brooklyn,2/12/2021
Central Avenue at Harman Street,Brooklyn,9/15/2020
Church Avenue and Dahill Avenue (New York Industries for the Blind),Brooklyn,8/16/2013
Church Avenue and East 21st Street,Brooklyn,1/6/2022
Church Avenue and East 37th Street,Brooklyn,2/10/2020
Church Avenue and McDonald Avenue (New York Industries for the Blind),Brooklyn,7/15/2013
Church Avenue and Ocean Avenue,Brooklyn,11/24/2020
Church Avenue with Buckingham Road and East 16th Street,Brooklyn,1/10/2022
Church Avenue with East 32nd Street and Raleigh Place,Brooklyn,4/23/2020
Church Avenue with Fairview Place and East 31st Street,Brooklyn,12/7/2020
Clarkson Avenue and Kings County Hospital Entrance (200' West of East 37th Street),Brooklyn,2/4/2022
Columbia Street and Mill Street,Brooklyn,11/10/2020
Coney Island Avenue and Avenue N,Brooklyn,12/5/2019
Coney Island Avenue and Avenue Y,Brooklyn,5/4/2022
Coney Island Avenue and Foster Avenue,Brooklyn,2/10/2022
Coney Island Avenue and Kings Highway,Brooklyn,5/8/2020
Coney Island Avenue and Neptune Avenue,Brooklyn,1/26/2022
Coney Island Avenue at Avenue O,Brooklyn,7/18/2020
Coney Island Avenue between Avenue H and Glenwood Road (mid-block),Brooklyn,3/28/2020
Cortelyou Road at Stratford Road,Brooklyn,6/23/2020
Court Street and Atlantic Avenue,Brooklyn,8/26/2013
Court Street and Livingston Street,Brooklyn,6/16/2012
Court Street and Schermerhorn Street,Brooklyn,8/27/2012
Court Street and State Street,Brooklyn,3/30/2014
Court Street with Remsen and Joralemon Street,Brooklyn,5/25/2013
Cropsey Avenue and Bay 32nd Street,Brooklyn,1/4/2016
Cropsey Avenue and Bay 35th / 24th Avenue,Brooklyn,10/28/2015
Cropsey Avenue and Bay 49th Street,Brooklyn,10/28/2015
Dahill Road and 12th Avenue,Brooklyn,5/21/2021
Dekalb Avenue and Ashland Place,Brooklyn,5/3/2022
DeKalb Avenue and Hudson Avenue,Brooklyn,5/11/2015
Dekalb Avenue and S Portland Avenue,Brooklyn,11/21/2016
Dekalb Avenue and Skillman Street,Brooklyn,1/28/2021
Ditmas Avenue and East 5th Street,Brooklyn,12/12/2012
Driggs Avenue and North 10th Street,Brooklyn,4/12/2022
Driggs Avenue and North 11th Street,Brooklyn,4/11/2022
Driggs Avenue and Union Avenue (mid-block),Brooklyn,9/13/2018
East New York Avenue and Kingston Avenue,Brooklyn,2/4/2021
East New York Avenue and Troy Avenue,Brooklyn,10/21/2020
East New York Avenue at Dean Street and Sackman Street,Brooklyn,12/24/2015
"East New York Avenue with East 93rd Street, Ford Street and Rochester Avenue",Brooklyn,3/15/2022
Eastern Parkway and New York Avenue,Brooklyn,1/30/2021
Eastern Parkway and Ralph Avenue,Brooklyn,2/1/2021
Empire Boulevard and McKeever Place,Brooklyn,2/12/2020
Erskine Street and 180' South of Schroeders Avenue,Brooklyn,12/8/2020
Etna Street at Hemlock Street,Brooklyn,9/19/2020
Farragut Road and East 21st Street,Brooklyn,4/21/2022
Farragut Road and East 31st Street,Brooklyn,6/10/2021
Farragut Road and East 82nd Street,Brooklyn,2/22/2021
Farragut Road with East 26th Street and Amersfort Place,Brooklyn,10/13/2021
Fillmore Avenue and East 33rd Street,Brooklyn,12/21/2021
Flatbush Avenue and Atlantic Avenue,Brooklyn,4/8/2019
Flatbush Avenue and Avenue M,Brooklyn,3/17/2022
Flatbush Avenue and Beekman Place with Maple Street,Brooklyn,9/24/2019
Flatbush Avenue and Church Avenue,Brooklyn,6/20/2019
Flatbush Avenue and Dekalb Avenue,Brooklyn,10/16/2015
Flatbush Avenue and Glenwood Road (west leg),Brooklyn,10/12/2016
Flatbush Avenue and Lafayette Avenue,Brooklyn,4/10/2017
Flatbush Avenue and Parkside Avenue,Brooklyn,6/22/2022
Flatbush Avenue and Prospect Park Zoo (mid-block),Brooklyn,1/30/2019
Flatbush Avenue and Snyder Avenue,Brooklyn,6/20/2022
Flatbush Avenue and Willoughby Street,Brooklyn,10/15/2015
Flatbush Avenue at Avenue T,Brooklyn,6/2/2020
Flatbush Avenue at Fulton Street and Nevins Street,Brooklyn,6/25/2012
Flatbush Avenue between Avenue U and Avenue V (mid-block),Brooklyn,4/7/2018
Flatbush Avenue with Brooklyn Avenue and Avenue J,Brooklyn,12/23/2015
Flatbush Avenue with Glenwood Road and East 29th Street (east leg),Brooklyn,10/14/2016
Flatbush Avenue with Nostrand Avenue and Hillel Place,Brooklyn,11/17/2016
Flatlands Avenue and East 107th Street,Brooklyn,7/17/2014
Flatlands Avenue and East 76th Street ,Brooklyn,8/1/2019
Flatlands Avenue at Elton Street,Brooklyn,9/25/2020
Flushing Avenue and Bogart Street,Brooklyn,12/6/2016
Flushing Avenue and Garden Street,Brooklyn,10/7/2020
Flushing Avenue and Skillman Street,Brooklyn,8/24/2013
Flushing Avenue and Warsoff Place,Brooklyn,12/13/2016
Flushing Avenue with Nostrand Avenue and Lee Avenue,Brooklyn,3/2/2021
Fort Hamilton Parkway and 92nd Street ,Brooklyn,5/13/2019
Fort Hamilton Parkway with 6th Avenue and 84th Street,Brooklyn,10/21/2019
Foster Avenue and East 37th Street,Brooklyn,4/12/2022
Foster Avenue and Rockaway Parkway,Brooklyn,2/7/2022
Franklin Avenue and Lafayette Avenue,Brooklyn,11/18/2016
Ft. Hamilton Parkway with 44th Street and New Utrecht Avenue,Brooklyn,7/20/2021
Fulton Street and Barbey Street,Brooklyn,4/28/2021
Fulton Street and Bradford Street,Brooklyn,4/13/2021
Fulton Street and Brooklyn Avenue,Brooklyn,11/7/2019
Fulton Street and Clinton Avenue,Brooklyn,8/26/2020
Fulton Street and Crescent Street,Brooklyn,12/9/2016
Fulton Street and Euclid Avenue,Brooklyn,3/31/2022
Fulton Street and Kingston Avenue (mid-block),Brooklyn,8/9/2021
Fulton Street and Lincoln Avenue,Brooklyn,1/20/2021
Fulton Street and Marcus Garvey Boulevard,Brooklyn,3/10/2021
Fulton Street and Patchen Avenue,Brooklyn,6/28/2022
Fulton Street and Saratoga Avenue,Brooklyn,10/9/2020
Fulton Street and Schenck Avenue,Brooklyn,3/25/2022
Fulton Street and Thomas S Boyland Street (Hopkinson Avenue),Brooklyn,2/2/2022
Fulton Street and Troy Avenue,Brooklyn,6/1/2022
Fulton Street and Vanderbilt Avenue,Brooklyn,2/9/2022
Fulton Street at Chestnut Street,Brooklyn,6/16/2020
Fulton Street with Lafayette Avenue and Fort Greene Place,Brooklyn,1/18/2017
Fulton Street with Ralph Avenue and Macdougal Street,Brooklyn,6/17/2022
Gerritsen Avenue and Avenue R (South Leg),Brooklyn,1/6/2021
Gerritsen Avenue and Avenue S,Brooklyn,5/24/2021
Gerritsen Avenue and Fillmore Avenue,Brooklyn,2/11/2022
Glenwood Road and East 39th Street,Brooklyn,7/11/2020
Glenwood Road and East 79th Street,Brooklyn,4/23/2020
Graham Avenue and Maujer Street (500' South),Brooklyn,1/15/2016
Graham Avenue and Scholes Street,Brooklyn,3/22/2021
Graham Avenue with Richardson Street and Herbert Street,Brooklyn,6/17/2022
Grand Army Plaza (North) and Pedestrian Crossing (mid-block),Brooklyn,1/30/2019
Grand Street with Waterbury Street and Olive Street,Brooklyn,8/12/2020
Hanson Place and St. Felix Street,Brooklyn,5/13/2015
Hillel Place and Campus Road (North Side),Brooklyn,8/7/2015
Howard Avenue and Macdonough Street,Brooklyn,2/28/2022
Jamaica Avenue and Hendrix Street,Brooklyn,9/24/2021
Jay Street and 165' S/O Tillary Street,Brooklyn,2/16/2022
Jay Street and Metrotech Roadway (North Leg),Brooklyn,4/26/2012
Jay Street and Metrotech Roadway (South Leg),Brooklyn,2/10/2012
Jay Street and Willoughby Street,Brooklyn,2/13/2013
Jay Street/Smith Street and Fulton Street,Brooklyn,9/13/2013
Johnson Avenue and White Street,Brooklyn,12/15/2021
Kings Highway and East 18th Street,Brooklyn,1/28/2022
Kings Highway and Schenectady Avenue,Brooklyn,12/23/2021
Kings Highway and West 12th Street,Brooklyn,2/25/2021
Kingston Avenue and Sterling Place,Brooklyn,3/24/2020
Knickerbocker Avenue and Menahan Street,Brooklyn,3/5/2021
Lafayette Avenue and Cumberland Street,Brooklyn,1/5/2022
Lafayette Avenue and Emerson Place (mid-block),Brooklyn,1/2/2019
Lenox Road and East 42nd Street,Brooklyn,9/21/2017
Linden Boulevard and Christopher Avenue (mid-block),Brooklyn,12/27/2018
Livingston Street and Bond Street,Brooklyn,5/16/2013
Livingston Street and Hoyt Street,Brooklyn,5/18/2013
Livingston Street at Nevins Street,Brooklyn,6/27/2014
Loring Avenue and Eldert Lane,Brooklyn,11/3/2020
Manhattan Avenue and Bedford Avenue,Brooklyn,12/22/2021
Marcus Garvey Boulevard and Madison Street,Brooklyn,12/7/2021
Marcus Garvey Boulevard and Park Avenue,Brooklyn,11/18/2020
McDonald Avenue and Ditmas Avenue,Brooklyn,7/10/2012
McDonald Avenue and Ft Hamilton Parkway,Brooklyn,1/28/2022
Myrtle Avenue and Marcus Garvey Boulevard (Sumner Avenue),Brooklyn,12/7/2021
Myrtle Avenue and Pedestrian Crossing (Hudson Walk) (mid-block),Brooklyn,3/15/2019
Myrtle Avenue and Stanhope Street,Brooklyn,8/13/2019
Myrtle Avenue and Throop Avenue,Brooklyn,1/4/2022
Neptune Avenue and Brighton 8th Street,Brooklyn,2/11/2022
Neptune Avenue and East 11th Street,Brooklyn,1/25/2022
Neptune Avenue and Shore Boulevard,Brooklyn,6/23/2018
Neptune Avenue and West 28th Street,Brooklyn,1/21/2021
Neptune Avenue and West 5th Street,Brooklyn,10/7/2020
Neptune Avenue with Shell Road and West 8th Street,Brooklyn,1/19/2022
Nevins Street and State Street,Brooklyn,1/18/2017
New Lots Avenue and Powell Street,Brooklyn,2/6/2018
New Lots Avenue with Miller Avenue and Riverdale Avenue,Brooklyn,4/15/2020
New Utrecht Avenue and 62nd Street,Brooklyn,7/7/2014
Newport Street and Saratoga Avenue,Brooklyn,5/26/2022
North Conduit Boulevard and Grant Avenue,Brooklyn,2/11/2022
Nostrand Avenue and Avenue V,Brooklyn,2/4/2022
Nostrand Avenue and Church Avenue,Brooklyn,3/17/2022
Nostrand Avenue and Erasmus Street,Brooklyn,2/8/2014
Nostrand Avenue and Glenwood Road,Brooklyn,11/3/2016
Nostrand Avenue and Kosciuszko Street,Brooklyn,10/25/2021
Nostrand Avenue and Maple Street,Brooklyn,4/20/2021
Nostrand Avenue and Marine Parkway,Brooklyn,10/6/2020
Nostrand Avenue and Willoughby Avenue,Brooklyn,5/12/2022
Ocean Avenue and Prospect Park North Entrance (mid-block),Brooklyn,12/13/2018
Ocean Avenue and Prospect Park South Entrance (mid-block),Brooklyn,12/13/2018
Ocean Avenue and Quentin Road,Brooklyn,12/29/2020
Ocean Parkway and Avenue L,Brooklyn,2/15/2022
Ocean Parkway and Avenue M,Brooklyn,5/19/2022
Ocean Parkway and Avenue O,Brooklyn,5/23/2022
Ocean Parkway and Avenue R,Brooklyn,5/10/2022
Ocean Parkway and Church Avenue,Brooklyn,11/15/2019
Ocean Parkway and Foster Avenue,Brooklyn,12/10/2021
Ocean Parkway and Parkville Avenue,Brooklyn,5/11/2021
"Old Fulton Street with Water Street, Everit Street and Furman Street",Brooklyn,11/12/2021
Park Avenue and Saint Edwards Street,Brooklyn,12/11/2020
Patchen Avenue and Chauncey Street,Brooklyn,3/4/2021
Pennsylvania Avenue and Freeport Loop (North Leg),Brooklyn,7/11/2014
Pennsylvania Avenue and Riverdale Avenue ,Brooklyn,2/9/2022
Pitkin Avenue and Chestnut Street,Brooklyn,6/25/2021
Pitkin Avenue at Williams Avenue,Brooklyn,1/21/2020
Quentin Road at East 24th Street,Brooklyn,6/26/2020
Ralph Avenue and Avenue N,Brooklyn,1/31/2022
Ralph Avenue and Bergen Avenue,Brooklyn,5/20/2022
Ralph Avenue between Avenue K and Avenue L (mid-block),Brooklyn,1/2/2019
Ralph Avenue with Avenue M and East 65th Street,Brooklyn,12/30/2020
Ralph Avenue with Beverly Road and Avenue B,Brooklyn,1/27/2021
Remsen Avenue and Conklin Avenue,Brooklyn,6/14/2021
Remsen Avenue with Clarkson Avenue (South Leg) and East 56th Street,Brooklyn,1/22/2021
Ridge Boulevard and 67th Street,Brooklyn,4/8/2020
Rochester Avenue and Carroll Street,Brooklyn,4/15/2022
Rochester Avenue and Dean Street,Brooklyn,11/17/2016
Rochester Avenue at Bergen Street,Brooklyn,9/3/2020
Rockaway Pkwy at Brookdale Hospital entrance (w of Linden Blvd),Brooklyn,10/21/2016
Roebling Street and South 1st Street,Brooklyn,12/29/2020
Rogers Avenue and Parkside Avenue,Brooklyn,1/27/2022
Rogers Avenue and St Johns Place,Brooklyn,9/10/2019
Rutland Road and East 91st Street ,Brooklyn,7/27/2021
Rutland Road with East 52nd Street and Remsen Avenue,Brooklyn,1/17/2017
Saratoga Avenue and Bergen Street,Brooklyn,8/28/2020
Schermerhorn Street and Nevins Street,Brooklyn,12/4/2013
Seaview Avenue and East 98th Street,Brooklyn,1/13/2021
Shore Parkway and BJ's Driveway (1752 Shore Parkway),Brooklyn,4/22/2021
Shore Parkway and Voorhies Avenue,Brooklyn,1/27/2022
Smith Street and Livingston Street,Brooklyn,7/13/2012
Snyder Avenue and East 58th Street ,Brooklyn,7/9/2020
Snyder Avenue and East 59th Street,Brooklyn,10/25/2021
South Conduit Boulevard and Grant Avenue,Brooklyn,2/15/2022
South Conduit Boulevard and Sheridan Avenue,Brooklyn,2/14/2022
Stanley Avenue and Georgia Avenue,Brooklyn,11/24/2020
Stanley Avenue and Sheffield Avenue,Brooklyn,10/7/2020
Stillwell Avenue between Bay 50th Street and Harway Avenue (mid-block),Brooklyn,6/10/2021
Stillwell Avenue with 25th Avenue and 84th Street,Brooklyn,2/10/2022
Surf Avenue and West 29th Street,Brooklyn,3/1/2018
Sutter Avenue and Autumn Avenue,Brooklyn,8/31/2021
Sutter Avenue and Hemlock Street,Brooklyn,5/5/2022
Sutter Avenue and Pine Street,Brooklyn,9/13/2021
Troy Avenue and Park Place,Brooklyn,6/7/2022
Union Avenue and Maujer Street,Brooklyn,8/18/2021
Utica Avenue and Avenue M,Brooklyn,8/27/2019
Utica Avenue and Church Avenue,Brooklyn,2/23/2021
Voorhies Avenue and East 18th Street,Brooklyn,4/4/2017
West 12th Street between Surf Avenue and Neptune Avenue (mid-block),Brooklyn,4/8/2019
West 5th Street and West Brighton Avenue,Brooklyn,2/22/2022
Wilson Avenue and Hart Street,Brooklyn,4/2/2021
Wilson Avenue and Madison Street,Brooklyn,3/2/2021
Wilson Avenue and Willoughby Avenue,Brooklyn,10/8/2021
Winthrop Street and East 91st Street,Brooklyn,10/6/2020
Winthrop Street and East 93rd Street,Brooklyn,11/9/2020
Winthrop Street and Kingston Avenue,Brooklyn,2/8/2022
Wythe Avenue at North 4th Street,Brooklyn,9/21/2020
10th Avenue and West 42nd Street,Manhattan,9/14/2021
10th Avenue and West 55th Street,Manhattan,9/6/2017
12th Avenue and West 23rd Street,Manhattan,5/31/2017
1st Avenue and East 107th Street (mid-block),Manhattan,8/27/2020
1st Avenue and East 109th Street,Manhattan,8/28/2020
1st Avenue and East 122nd Street,Manhattan,11/25/2016
1st Avenue and East 14th Street,Manhattan,3/24/2018
1st Avenue and East 15th  Street,Manhattan,3/24/2018
1st Avenue and East 16th  Street,Manhattan,2/24/2018
1st Avenue and East 17th Street,Manhattan,5/3/2017
1st Avenue and East 18th  Street,Manhattan,2/3/2018
1st Avenue and East 19th Street,Manhattan,6/29/2017
1st Avenue and East 20th Street,Manhattan,5/26/2018
1st Avenue and East 21st Street,Manhattan,6/17/2017
1st Avenue and East 22nd Street,Manhattan,5/24/2017
1st Avenue and East 23rd Street,Manhattan,5/15/2018
1st Avenue and East 28th Street,Manhattan,11/10/2018
1st Avenue and East 34th Street,Manhattan,6/3/2022
1st Avenue at East 82nd Street,Manhattan,9/14/2020
1st Avenue between E 30th Street and E 33rd Street,Manhattan,2/2/2016
2nd Avenue and East 23rd Street,Manhattan,5/5/2018
2nd Avenue and East 96th Street,Manhattan,8/24/2019
2nd Avenue and East 98th Street,Manhattan,11/23/2016
2nd Avenue and Pedestrian Crossing (East 107th Street),Manhattan,11/23/2016
2nd Avenue and Pedestrian Crossing (East 114th Street),Manhattan,11/9/2016
2nd Avenue and Stuyvesant Square (East 16th Street),Manhattan,11/9/2016
3rd Avenue and East 23rd Street,Manhattan,8/15/2018
3rd Avenue and East 59th Street (Lighthouse),Manhattan,2/2/2010
3rd Avenue and East 72nd Street,Manhattan,10/20/2015
3rd Avenue and East 77th Street,Manhattan,4/14/2022
3rd Avenue and Pedestrian Crossing at East 113th Street,Manhattan,11/25/2016
3rd Avenue and Pedestrian Crossing at East 114th Street,Manhattan,1/30/2017
5th Avenue and 125th Street,Manhattan,11/5/2016
5th Avenue and 58th Street and Grand Army Plaza,Manhattan,7/20/2014
5th Avenue and East 23rd Street,Manhattan,4/13/2012
5th Avenue and West 141st Street,Manhattan,12/22/2021
5th Avenue at Pedestrian Crossing (West/East 113th Street),Manhattan,11/22/2016
5th Avenue with East 124th and West 124th Streets,Manhattan,8/19/2016
5th Avenue with East and West 8th Street,Manhattan,10/19/2019
6th Avenue / Avenue of The Americas and West 9th Street,Manhattan,11/27/2018
7th Avenue and West 17th Street,Manhattan,9/1/2019
7th Avenue and West 23rd Street,Manhattan,9/16/2011
7th Avenue and West 32nd Street,Manhattan,7/5/2012
7th Avenue and West 47th Street,Manhattan,2/24/2017
7th Avenue and West 58th Street,Manhattan,7/18/2021
7th Avenue South and Leroy Street ,Manhattan,12/21/2019
7th Avenue with Bleecker Street and Barrow Street,Manhattan,3/11/2020
"7th Avenue with Varick Street, Clarkson Street and Carmine Street",Manhattan,8/31/2020
8th Avenue and West 130th Street,Manhattan,11/18/2016
8th Avenue and West 18th Street,Manhattan,2/28/2022
