Location,Borough,Date Installed
8th Avenue and West 20th Street,Manhattan,5/25/2022
8th Avenue and West 23rd Street,Manhattan,11/10/2018
8th Avenue and West 25th Street,Manhattan,10/26/2019
8th Avenue and West 54th Street,Manhattan,7/23/2020
8th Avenue and West 55th Street,Manhattan,3/1/2013
8th Avenue between West 31st and West 32nd Streets,Manhattan,6/25/2016
9th Avenue and West  23rd Street,Manhattan,7/24/2018
9th Avenue and West  27th Street,Manhattan,1/26/2017
9th Avenue and West  43rd Street,Manhattan,6/4/2018
9th Avenue and West 18th Street,Manhattan,3/2/2022
Amsterdam Avenue and 250' South of West 138th Street (mid-block),Manhattan,12/10/2020
Amsterdam Avenue and Cathedral Parkway (West 110th Street),Manhattan,7/22/2021
Amsterdam Avenue and Pedestrian crossing 200' North of West 62nd Street,Manhattan,1/27/2017
Amsterdam Avenue and West 113th Street,Manhattan,10/31/2015
Amsterdam Avenue and West 114th Street,Manhattan,8/12/2016
Amsterdam Avenue and West 185th Street,Manhattan,5/28/2020
Amsterdam Avenue and West 64th Street,Manhattan,2/11/2020
Amsterdam Avenue and West 66th Street,Manhattan,3/15/2020
Amsterdam Avenue and West 73rd Street,Manhattan,11/1/2019
Amsterdam Avenue and West 79th Street ,Manhattan,5/22/2019
Amsterdam Avenue and West 96th Street,Manhattan,3/17/2020
Amsterdam Avenue and West 97th Street,Manhattan,7/14/2020
Amsterdam Avenue at Pedestrian Crossing (West 117th Street),Manhattan,11/22/2016
Amsterdam Avenue pedestrian crossing (btwn West 123rd and La Salle Sts),Manhattan,1/25/2017
Avenue C and East 16th Street ,Manhattan,10/31/2019
Avenue C and East 20th Street,Manhattan,5/7/2020
Avenue D and East 11th Street,Manhattan,11/17/2016
Avenue D and East 3rd Street,Manhattan,10/6/2016
Avenue of the Americas and 23rd Street (Selis Manor),Manhattan,5/25/2004
Avenue of the Americas and West 11th Street,Manhattan,2/13/2020
Avenue of the Americas and West 16th Street,Manhattan,8/8/2019
Avenue of the Americas and West 57th Street,Manhattan,3/15/2020
Avenue of the Americas at West 40th Street,Manhattan,3/30/2020
Avenue of the Americas with Dominick Street  and Clark Street,Manhattan,1/26/2017
Battery Place and Washington Street,Manhattan,5/11/2015
Beekman Street and Nassau Street,Manhattan,8/27/2016
Beekman Street and Williams Street,Manhattan,12/18/2016
Broadway and 5th Avenue between 23rd Street and 24th Street,Manhattan,4/27/2018
Broadway and 7th Avenue with West 43rd Street,Manhattan,2/24/2017
Broadway and 7th Avenue with West 44th Street,Manhattan,2/24/2017
Broadway and 7th Avenue with West 45th Street,Manhattan,2/24/2017
Broadway and 7th Avenue with West 46th Street,Manhattan,2/24/2017
Broadway and Astor Place,Manhattan,7/18/2018
Broadway and Bowling Green,Manhattan,9/13/2013
Broadway and Columbus Avenue with West 65 Street,Manhattan,9/24/2010
Broadway and Sherman Avenue ,Manhattan,8/25/2019
Broadway and West 106th Street,Manhattan,2/11/2020
Broadway and West 117th Street (midblock crossing),Manhattan,5/17/2018
Broadway and West 125th Street,Manhattan,4/22/2022
Broadway and West 133th Street ,Manhattan,5/6/2019
Broadway and West 152nd Street,Manhattan,7/22/2019
Broadway and West 153rd Street,Manhattan,7/26/2019
Broadway and West 160th Street,Manhattan,10/23/2019
Broadway and West 164th Street,Manhattan,9/24/2018
Broadway and West 173rd Street,Manhattan,10/23/2019
Broadway and West 175th Street,Manhattan,10/31/2016
Broadway and West 184th Street,Manhattan,7/20/2021
Broadway and West 187th Street,Manhattan,7/16/2021
Broadway and West 220th Street,Manhattan,6/21/2022
Broadway and West 23rd Street,Manhattan,4/13/2012
Broadway and West 49th Street,Manhattan,9/8/2021
Broadway and West 64th Street,Manhattan,3/8/2017
Broadway and West 66th Street,Manhattan,8/10/2016
Broadway and West 78th Street,Manhattan,6/27/2019
Broadway and West 79th Street,Manhattan,8/21/2018
Broadway and West 86th Street,Manhattan,7/30/2019
Broadway and West 96th Street,Manhattan,3/1/2017
Broadway at Cathedral Parkway (West 110th Street),Manhattan,1/3/2020
Broadway at West 182nd Street,Manhattan,9/22/2020
Broadway with Dyckman Street and Riverside Drive,Manhattan,10/31/2016
Broadway with West 126th Street and 129th Street,Manhattan,4/13/2022
Broadway with West 218th Street and 10th Avenue,Manhattan,3/3/2017
Central Park West and Pedestrian Crossing (West 79th Street),Manhattan,1/26/2017
Central Park West and West 100th Street,Manhattan,11/4/2019
Central Park West and West 65th Street (North/East/West Legs-Phase II),Manhattan,10/20/2015
Central Park West and West 65th Street (South Leg-Phase I),Manhattan,9/24/2010
Central Park West and West 72nd Street,Manhattan,9/7/2018
Central Park West and West 82nd Street,Manhattan,10/14/2021
Central Park West and West 97th Street,Manhattan,9/11/2019
Centre Street and Brooklyn Bridge Exit,Manhattan,7/30/2018
Centre Street and Chambers Street,Manhattan,9/3/2021
Centre Street and Franklin Walk,Manhattan,1/26/2017
Cherry Street and Rutgers Street,Manhattan,10/26/2016
Church Street with Franklin Street and Avenue of the Americas,Manhattan,4/11/2022
Clinton Street and Henry Street ,Manhattan,12/23/2019
Clinton Street between East Broadway and Grand Street,Manhattan,6/29/2017
Columbus Avenue and West 64th Street,Manhattan,3/8/2017
Columbus Avenue and West 66th Street,Manhattan,8/4/2016
Columbus Avenue and West 97th Street,Manhattan,11/7/2018
Columbus Avenue and West 98th Street Pedestrian Crossing,Manhattan,9/13/2017
Columbus Avenue at West 72nd Street,Manhattan,6/16/2020
Columbus Avenue midblock crossing between West 100th Street and West 104th Street (West 102nd Street),Manhattan,5/16/2018
Columbus Avenue midblock crossing between West 100th Street and West 104th Street (West 103rd Street),Manhattan,5/16/2018
Columbus Avenue midblock crossing between West 97th Street and West 100th Street (West 99th Street),Manhattan,5/17/2018
Delancey Street and Essex Street ,Manhattan,6/5/2019
East 116th Street with Manhattan Center for Science and Math and East River Plaza Mall,Manhattan,6/8/2022
East 37th Street and FDR Drive,Manhattan,7/18/2017
East Broadway between Catherine Street and Market Street,Manhattan,2/23/2016
East End Avenue and East 85th Street,Manhattan,7/16/2014
East Houston Street and Pitt Street,Manhattan,11/14/2018
East Houston Street with Avenue D and Columbia Street,Manhattan,12/4/2018
East Houston Street with Clinton Street and Avenue B,Manhattan,11/3/2019
East Houston Street with Essex Street and Avenue A ,Manhattan,8/1/2019
Edgecombe Avenue and West 164th Street,Manhattan,3/1/2014
Eighth Avenue and West 52nd Street,Manhattan,10/14/2019
Eighth Avenue and West 53rd Street,Manhattan,10/26/2019
Fifth Avenue and West 99th Street (pedestrian crossing),Manhattan,1/25/2017
Fifth Avenue pedestrian crossing (btwn East 132nd and East 135th Streets),Manhattan,1/25/2017
First Avenue and East 13th Street,Manhattan,6/21/2021
First Avenue and East 54th Street,Manhattan,2/22/2020
First Avenue and East 66th Street,Manhattan,10/26/2020
First Avenue and East 67th Street,Manhattan,2/26/2021
Fort Washington Avenue between 165th Street and 168th Street (mid-block),Manhattan,1/25/2021
Frederick Douglass Boulevard (8th Avenue) and West 125th Street,Manhattan,5/22/2017
Frederick Douglass Boulevard and West 156th Street,Manhattan,5/22/2017
Gold Street and Beekman Street,Manhattan,9/20/2013
Gold Street and Fulton Street,Manhattan,9/30/2013
Gold Street and Spruce Street,Manhattan,9/20/2013
Grand Street and Clinton Street,Manhattan,11/6/2020
Grand Street and Lewis Street,Manhattan,6/3/2021
Grand Street and Ridge Street,Manhattan,2/23/2016
Greenwich Street and Barclay Street,Manhattan,10/29/2015
Greenwich Street and Chambers Street,Manhattan,8/18/2020
Greenwich Street and Cortlandt Way (mid-block),Manhattan,1/30/2019
Greenwich Street and West 10th Street,Manhattan,1/9/2022
La Guardia Place (West Broadway) and Washington Square South,Manhattan,3/23/2021
Lafayette Street and Pedestrian crossing (Pearl Street),Manhattan,1/27/2017
Lenox Avenue and West 126th Street,Manhattan,6/8/2022
Lenox Avenue and West 128th Street,Manhattan,5/26/2022
Lenox Avenue and West 134th Street,Manhattan,6/1/2021
Lexington Avenue and 125th Street,Manhattan,9/23/2019
Lexington Avenue and East 113th Street (Pedestrian Crossing),Manhattan,4/3/2018
Lexington Avenue and East 114th Street (Pedestrian Crossing),Manhattan,4/3/2018
Lexington Avenue and East 23rd Street,Manhattan,8/19/2018
Lexington Avenue and East 25th Street,Manhattan,3/1/2017
Lexington Avenue and East 42nd Street,Manhattan,9/12/2018
Lexington Avenue and East 43rd Street,Manhattan,11/17/2018
Lexington Avenue and East 52nd Street,Manhattan,6/26/2012
Lexington Avenue and East 59th Street (Lighthouse),Manhattan,10/22/2004
Madison Avenue and East 100th Street pedestrian crossing (mid-block),Manhattan,7/16/2018
Madison Avenue and East 113th Street pedestrian crossing (mid-block),Manhattan,7/16/2018
Madison Avenue and East 114th Street pedestrian crossing (mid-block),Manhattan,7/19/2018
Madison Avenue and East 116th Street,Manhattan,2/17/2022
Madison Avenue and East 133rd Street,Manhattan,5/16/2017
Madison Avenue and East 134th Street,Manhattan,5/15/2017
Madison Avenue and East 23rd Street,Manhattan,5/18/2018
Madison Avenue and East 25th Street,Manhattan,11/12/2021
Madison Street and 300' west of Jackson Street,Manhattan,9/12/2017
Madison Street and Jefferson Street,Manhattan,6/20/2014
Maiden Lane at Front Street,Manhattan,6/27/2014
Malcolm X Boulevard (Lenox Avenue) and West 111th Street,Manhattan,10/19/2021
Malcolm X Boulevard (Lenox Avenue) and West 145th Street,Manhattan,2/23/2017
Murray Street and 270' West of West Street,Manhattan,1/27/2017
Park Avenue  and East 113th Street pedestrian crossing (mid-block),Manhattan,7/19/2018
Park Avenue and East 102nd Street,Manhattan,1/25/2022
Park Avenue and East 132nd Street,Manhattan,1/28/2022
Park Avenue and East 55th Street,Manhattan,5/2/2022
Park Avenue and East 59th Street (Lighthouse),Manhattan,10/12/2004
Park Avenue and East 81st Street,Manhattan,4/7/2021
Park Avenue at East 115th Street,Manhattan,1/6/2020
Park Avenue South and East 23rd Street,Manhattan,5/25/2018
Pearl Street and Beekman Street,Manhattan,8/10/2019
Pleasant Avenue and East 118th Street,Manhattan,8/8/2020
Riverside Drive and 200’ North of West 181st Street (mid-block),Manhattan,12/3/2018
Riverside Drive and West  94th Street,Manhattan,9/13/2017
Riverside Drive and West 101st Street (mid-block),Manhattan,2/13/2019
Riverside Drive and West 103rd Street ,Manhattan,12/4/2018
Riverside Drive and West 106th Street ,Manhattan,12/4/2018
Riverside Drive and West 112th Street (midblock crossing),Manhattan,5/17/2018
Riverside Drive and West 138th Street,Manhattan,5/11/2017
Riverside Drive and West 151st Street,Manhattan,5/11/2017
Riverside Drive and West 163rd Street,Manhattan,5/12/2017
Riverside Drive and West 95th Street ,Manhattan,12/1/2019
Riverside Drive and West 99th Street (mid-block),Manhattan,2/13/2019
Riverside Drive North Triangle (Tiemann Stairs),Manhattan,5/17/2018
Riverside Drive Northbound and Grants Tomb 450' North of West 122nd Street,Manhattan,11/20/2019
Riverside Drive South Triangle (Tiemann Stairs),Manhattan,1/25/2018
Riverside Drive Southbound and 450' North Of West 122nd Street,Manhattan,8/13/2019
Second Avenue and East 42nd Street,Manhattan,3/10/2021
Second Avenue and East 53rd Street,Manhattan,4/18/2022
Second Avenue and East 72nd Street,Manhattan,11/4/2019
Spruce Street and Nassau Street,Manhattan,3/20/2020
St James Place and James Street,Manhattan,11/20/2013
St Nicholas Avenue and Pedestrian Crossing between West 130th and West 133rd Streets,Manhattan,5/15/2017
St Nicholas Avenue and West 125th Street,Manhattan,10/21/2016
St Nicholas Avenue and West 156th Street,Manhattan,5/12/2017
St Nicholas Avenue and West 177th Street,Manhattan,5/20/2022
St Nicholas Avenue and West 183rd Street,Manhattan,6/24/2022
Stone Street and Broad Street,Manhattan,4/6/2016
Stone Street and Whitehall Street,Manhattan,6/7/2012
Sutton Place and East 57th Street,Manhattan,9/1/2019
Third Avenue and East 28th Street,Manhattan,8/5/2020
Third Avenue and East 42nd Street ,Manhattan,11/20/2019
Third Avenue and East 65th Street,Manhattan,10/21/2021
Varick Street and West Houston Street,Manhattan,6/30/2021
Vesey Street between North End Avenue and West Street,Manhattan,9/7/2017
Washington Square South and Thompson Street,Manhattan,8/9/2015
Washington Street and Gansevoort Street,Manhattan,6/28/2021
Water Street and Fulton Street,Manhattan,10/6/2016
West 100th Street and Manhatan Avenue,Manhattan,5/27/2022
West 106th Street between Amsterdam Avenue and Columbus Avenue (mid-block),Manhattan,4/20/2022
West 112th Street between Lenox Avenue and 5th Avenue (mid-block),Manhattan,2/13/2019
West 125th Street and 12th Avenue,Manhattan,3/9/2022
West 125th Street at 400’ east of Frederick Douglass Boulevard,Manhattan,10/31/2016
West 125th Street at 400’ west of Lenox Avenue,Manhattan,10/28/2016
West 125th Street at 450’ west of 5th Avenue,Manhattan,10/28/2016
West 125th Street with St Clair Place and West 129th Street ,Manhattan,2/18/2022
West 155th Street with Edgecomb Avenue and HRD / St Nicholas Place,Manhattan,12/30/2015
West 157th Street with Edward Morgan Place and Broadway,Manhattan,2/11/2022
West 23rd Street between 5th Avenue and 6th Avenue (Mid-block),Manhattan,7/25/2013
West 34th Street between 7th and 8th Avenues,Manhattan,3/12/2016
West 34th Street between 8th Avenue and 9th Avenue (mid-block),Manhattan,2/7/2012
"West 34th Street between Broadway, 6th and 7th Avenues",Manhattan,5/7/2016
West 3rd Street at Wooster Street (1 Washington Square Village),Manhattan,1/30/2020
West 42nd Street between 5th Avenue and 6th Avenue,Manhattan,3/10/2016
West 42nd Street between 7th Avenue and 8th Avenue,Manhattan,5/2/2016
West 42nd Street between 8th Avenue and 9th Avenue,Manhattan,5/9/2016
West 53rd Street between 5th and 6th Avenues,Manhattan,10/3/2016
West 57th Street between 6th Avenue and 5th Avenue (300' East of 6th Avenue) (mid-block),Manhattan,2/14/2020
West 57th Street between 6th Avenue and 7th Avenue (Mid-block),Manhattan,6/23/2013
West 57th Street between 8th Avenue and 9th Avenue (Mid-block),Manhattan,7/25/2013
West End Avenue and Pedestrian Crossing (120’ north of West 67th Street),Manhattan,9/11/2017
West End Avenue and Pedestrian Crossing (West 69th Street),Manhattan,9/11/2017
West End Avenue and West 63rd Street,Manhattan,6/4/2019
West End Avenue and West 64th Street ,Manhattan,5/22/2019
West End Avenue and West 65th Street,Manhattan,3/26/2019
West End Avenue and West 70th Street,Manhattan,4/11/2022
West End Avenue and West 79th Street,Manhattan,2/24/2020
West End Avenue and West 95th Street,Manhattan,6/18/2021
West End Avenue and West 97th Street ,Manhattan,9/10/2019
West Street and Horatio Street (mid-block),Manhattan,3/20/2019
York Avenue and East 62nd Street,Manhattan,7/22/2012
York Avenue and East 68th Street,Manhattan,10/25/2019
York Avenue with FDR Drive Entrance/Exit Ramps and East 63rd Street,Manhattan,9/1/2019
101st Avenue and 104th Street,Queens,6/22/2022
101st Avenue and 110th Street,Queens,3/31/2022
101st Avenue and 81st Street,Queens,7/6/2020
101st Avenue at 112th Street,Queens,6/9/2020
103rd Avenue and 98th Street,Queens,4/14/2021
107th Avenue at 120th Street,Queens,6/24/2020
108th Street and 63rd Drive,Queens,11/14/2019
108th Street and Van Doren Street,Queens,3/26/2019
109th Avenue and 122nd Street,Queens,5/12/2021
109th Avenue and 133rd Street,Queens,4/17/2020
109th Avenue with 130th Street and 129th Street,Queens,12/16/2020
110th Avenue and Sutphin Boulevard,Queens,8/15/2016
111th Avenue with 126th Street and Hawtree Creek Road,Queens,4/6/2022
111th Street and 46th Avenue,Queens,1/15/2021
137th Avenue and 172nd Street,Queens,4/7/2017
145th Avenue and Springfield Boulevard,Queens,6/6/2018
147th Avenue and 184th Street,Queens,12/7/2021
150th Street and 15th Drive,Queens,7/14/2017
188th Street and 186th Lane,Queens,3/19/2021
20th Avenue and Whitestone Expressway (NorthBound Service Road),Queens,11/29/2018
20th Avenue and Whitestone Expressway (Southbound Service Road),Queens,11/29/2018
212th Street between 18th Avenue and 23rd Avenue) (mid-block),Queens,2/20/2020
21st Avenue and 24th Street,Queens,4/20/2022
21st Street and 21st Road,Queens,4/21/2020
21st Street and 30th Avenue,Queens,1/26/2022
21st Street and 31st Avenue,Queens,10/11/2019
21st Street and 31st Drive,Queens,10/1/2019
21st Street and 31st Road,Queens,7/12/2019
21st Street and 34th Avenue,Queens,3/5/2020
21st Street and 38th Avenue,Queens,10/10/2019
21st Street and 40th Avenue,Queens,10/20/2021
21st Street and 41st Avenue,Queens,8/17/2019
21st Street with Astoria Boulevard and 27th Avenue,Queens,1/20/2022
223rd Street and 103rd Avenue,Queens,11/25/2020
24th Avenue and 33rd Street,Queens,9/14/2021
25th Avenue and 81st Street,Queens,8/26/2021
27th Avenue and 8th Street (Goodwill Industries),Queens,8/8/2006
30th Avenue and 30th Street,Queens,1/30/2019
30th Avenue and 70th Street,Queens,2/17/2022
31st Avenue and 100th Street,Queens,10/15/2020
31st Avenue and 68th Street,Queens,6/16/2022
31st Avenue and 97th Street,Queens,11/24/2021
31st Road and 138th Street,Queens,4/25/2020
32nd Avenue and 55th Street,Queens,9/7/2021
32nd Avenue with 93rd Street and Jackson Mill Road,Queens,5/14/2020
35th Avenue with 70th Street and Leverich Street,Queens,5/7/2020
36th Avenue and 13th Street,Queens,10/14/2020
36th Avenue and 14th Street,Queens,3/31/2021
36th Avenue and 23rd Street,Queens,11/21/2013
37th Avenue and  78th Street,Queens,5/23/2018
37th Avenue and 102nd Street,Queens,4/29/2022
37th Avenue and 90th Street,Queens,6/28/2022
38th Avenue and 28th Street,Queens,10/1/2021
38th Avenue and 30th Street ,Queens,3/19/2020
39th Avenue and 52nd Street,Queens,11/10/2021
43rd Avenue at 97th Place,Queens,1/2/2020
44th Drive and Hunter Street,Queens,3/9/2019
45th Avenue and Union Street,Queens,10/28/2019
47th Avenue and 33rd Street,Queens,3/18/2022
47th Avenue and 35th Street,Queens,1/16/2022
47th Street and 48th Avenue,Queens,3/20/2018
48th Avenue and 211th Street,Queens,11/17/2019
48th Avenue and 32nd Place,Queens,4/22/2022
64th Avenue (East Leg) and 188th Street,Queens,8/18/2021
64th Avenue (North Leg) and 188th Street,Queens,8/18/2021
64th Avenue (South Leg) and 188th Street,Queens,8/10/2021
64th Avenue (West Leg) and 188th Street,Queens,8/9/2021
64th Avenue and 175th Street,Queens,4/15/2022
69th Street and 49th Avenue,Queens,10/23/2020
71st Avenue and Juno Street,Queens,12/4/2020
80th Street and 68th Road,Queens,2/18/2022
8th Street and Astoria Boulevard,Queens,8/19/2021
92nd Street between 57th Avenue and 59th Avenue (mid-block),Queens,12/7/2020
Archer Avenue and Parsons Boulevard,Queens,2/16/2017
Astoria Boulevard (South) and 43rd Street,Queens,4/25/2022
Astoria Boulevard and 38th Street,Queens,1/22/2022
Astoria Boulevard and 94th Street,Queens,3/22/2022
Atlantic Avenue and 102nd Street,Queens,6/15/2022
Atlantic Avenue and 108th Street,Queens,6/17/2022
Atlantic Avenue and 118th Street,Queens,3/21/2022
Atlantic Avenue and 84th Street,Queens,11/21/2018
Atlantic Avenue at 87th Street ,Queens,9/25/2020
Austin Street and 69th Road,Queens,5/20/2022
Austin Street and 70th Street,Queens,5/2/2020
Austin Street with 71st Avenue and Continental Avenue,Queens,4/3/2017
Beach 102nd Street and Rockaway Beach Blvd West Leg,Queens,9/22/2017
Bell Boulevard and 47th Avenue,Queens,10/27/2021
Booth Memorial Avenue and 160th Road,Queens,12/7/2019
Borden Avenue and 25th Street,Queens,4/1/2021
Bowne Street and Cherry Avenue,Queens,5/12/2022
Broadway and Corona Avenue,Queens,5/6/2022
Broadway and St James Avenue,Queens,2/22/2022
Broadway between 49th Street and 51st Street (mid-block),Queens,3/16/2021
Brookville Boulevard and 137th Road,Queens,3/24/2022
Brookville Boulevard and Newhall Avenue,Queens,4/27/2022
Clintonville Street and Locke Avenue,Queens,8/1/2014
College Point Boulevard and Pople Avenue,Queens,10/19/2020
Cooper Avenue and 64th Place,Queens,5/13/2022
Corona Avenue and 94th Street,Queens,5/20/2016
Corona Avenue with 108th Street and 53rd Avenue,Queens,6/19/2019
Corona Avenue with 50th Avenue and 106th Street,Queens,2/18/2021
Corona Avenue with Otis Avenue and 54th Avenue,Queens,6/24/2022
Crescent Street and 30th Road,Queens,3/24/2020
Cross Bay Boulevard and East 1st Road,Queens,1/14/2021
Cross Bay Boulevard at Pitkin Avenue,Queens,1/5/2020
Dry Harbor Road and Juniper Boulevard South,Queens,4/2/2021
Dunkirk Street and Wood Street,Queens,5/5/2021
Eliot Avenue and 72nd Street,Queens,12/7/2016
Empire Avenue with Reads Lane and Balsam Court,Queens,10/22/2020
Forest Avenue and Stephen Street,Queens,8/11/2021
Francis Lewis Boulevard and 35th Avenue,Queens,7/16/2014
Francis Lewis Boulevard and 46th Avenue,Queens,7/16/2020
Fresh Pond Road and 60th Road,Queens,9/23/2021
Grand Avenue and 47th Street,Queens,6/25/2021
Grand Avenue and 74th Street,Queens,10/15/2020
Grand Avenue with Haspel Street and Van Kleeck Street,Queens,5/6/2022
Grand Central Parkway and 267th Street,Queens,3/15/2021
Grand Central Parkway and 62nd Drive,Queens,4/28/2020
Grand Central Parkway E/B SR with McLaughlin Avenue and 188th Street,Queens,12/15/2021
Greenpoint Avenue with 48th Avenue and 41st Street,Queens,6/29/2022
Guy R Brewer Boulevard and 150th Avenue,Queens,5/24/2021
Guy R Brewer Boulevard and JHS 72 (mid-block),Queens,8/24/2020
Harper Street and Marina Road,Queens,5/10/2018
Hempstead Avenue and 218th Street,Queens,6/4/2021
Hempstead Avenue and 221st Street,Queens,10/7/2016
Hillside Avenue and 143rd Street,Queens,1/31/2022
Hillside Avenue and 153rd Street,Queens,1/24/2022
Hillside Avenue and 161st Street,Queens,1/20/2022
Hillside Avenue and 164th Street East Leg,Queens,10/28/2020
Hillside Avenue and 175th Street ,Queens,8/9/2019
Hillside Avenue and 178th Street/Edgerton Boulevard,Queens,2/8/2017
Hillside Avenue and 183rd Street,Queens,5/19/2021
Hillside Avenue and 199th Street,Queens,2/6/2017
Hillside Avenue and 205th Street,Queens,1/5/2022
Hillside Avenue and 233rd Street,Queens,11/6/2020
Hillside Avenue and 256th Street,Queens,8/2/2011
Hillside Avenue and 267th Street,Queens,2/4/2021
Hillside Avenue and Cross Island YMCA (170' West of 239th Street) (mid-block),Queens,5/26/2020
Hillside Avenue and Springfield Boulevard,Queens,1/7/2022
Hillside Avenue with 187th Street and Chelsea Street,Queens,10/6/2021
Hillside Avenue with Babbage Street and 118th Street ,Queens,2/16/2021
Hillside Avenue with Merrick Boulevard and 166th Street,Queens,12/2/2016
Hobart Street and 30th Avenue ,Queens,12/18/2019
Hollis Avenue and 190th Street,Queens,2/27/2020
Hollis Court Boulevard with 189th Street and 46th Road,Queens,6/16/2021
Horace Harding Expressway Eastbound and Cloverdale Boulevard ,Queens,12/10/2019
Horace Harding Expressway Service Road North and 92nd Street ,Queens,12/7/2019
Horace Harding Expressway Westbound and Fresh Meadow Lane ,Queens,12/10/2019
Horace Harding Expressway Westbound Service Road and Cloverdale Boulevard ,Queens,12/10/2019
