Location,Borough,Date Installed
Horace Harding Expressway Westbound Service Road at Corona Avenue,Queens,1/10/2020
Horace Harding Parkway Service Road Eastbound at Grand Central Parkway Service Road West,Queens,1/10/2020
Hunters Point Avenue and 31st Place,Queens,6/25/2022
Hunters Point Avenue and 32nd Place,Queens,12/22/2020
Jackson Avenue and 21st Street ,Queens,6/30/2019
Jamaica Avenue and 175th Street,Queens,7/8/2019
Jamaica Avenue and 189th Stret,Queens,3/24/2020
Jamaica Avenue and 190th Street,Queens,11/6/2019
Jamaica Avenue and 196th Street,Queens,10/30/2015
Jamaica Avenue and 207th Street,Queens,8/12/2019
Jamaica Avenue and 222nd Street,Queens,10/2/2019
Jamaica Avenue and 224th Street,Queens,2/3/2020
Jamaica Avenue and Springfield Boulevard,Queens,10/11/2016
Jamaica Avenue at 181st Street,Queens,6/8/2020
Jamaica Avenue with 143rd Street and 144th Street ,Queens,8/26/2019
Jamaica Avenue with Woodhull Avenue and 188th Street,Queens,11/13/2019
Juniper Boulevard South and 74th Street,Queens,2/8/2022
Kissena Boulevard and Elder Avenue,Queens,11/29/2016
Kissena Boulevard and Sanford Avenue,Queens,11/28/2016
Laurelton Parkway and 133rd Avenue,Queens,1/10/2022
Liberty Avenue and 102nd Street,Queens,6/30/2021
Liberty Avenue and 127th Street ,Queens,7/23/2021
Liberty Avenue and 80th Street S/B,Queens,6/14/2021
Liberty Avenue at 148th Street,Queens,6/1/2020
Linden Boulevard and 115th Street,Queens,7/15/2021
Linden Boulevard and 118th Street,Queens,4/28/2022
Linden Boulevard and 128th Street,Queens,1/7/2021
Linden Boulevard with Lincoln Street and 134th Street,Queens,2/7/2022
Little Neck Parkway and 254th Street,Queens,2/18/2022
Little Neck Parkway and 86th Avenue,Queens,8/2/2011
Long Island Expressway North Service Road at 99th Street,Queens,1/13/2020
Main Street and 41st Road,Queens,12/5/2016
Main Street and 58th Road,Queens,12/3/2020
Main Street and Northern Boulevard,Queens,11/23/2016
Main Street and Pedestrian Crossing between 63rd Avenue & Gravett Road (mid-block),Queens,2/25/2019
Marathon Parkway and 57th Avenue,Queens,5/2/2012
Maurice Avenue and 66th Street,Queens,5/16/2020
Maurice Avenue and 68th Street,Queens,2/24/2021
Merrick Boulevard and 108th Avenue,Queens,7/26/2021
Merrick Boulevard and 109th Avenue,Queens,10/14/2020
Merrick Boulevard and 231st Street,Queens,9/26/2014
Metropolitan Avenue and 55th Street,Queens,6/30/2021
Metropolitan Avenue and Aubrey Avenue,Queens,11/1/2021
Myrtle Avenue and 82nd Street,Queens,10/30/2015
North Conduit Avenue and 230th Place,Queens,7/16/2021
Northern Boulevard and 103rd Street,Queens,8/7/2019
Northern Boulevard and 110th Street ,Queens,5/14/2019
Northern Boulevard and 112th Street,Queens,11/6/2018
Northern Boulevard and 157th Street,Queens,2/9/2021
Northern Boulevard and 196th Street,Queens,1/13/2021
Northern Boulevard and 220th Place,Queens,12/20/2021
Northern Boulevard and 33rd Street,Queens,2/17/2017
Northern Boulevard and 61st Street,Queens,4/3/2020
Northern Boulevard and 78th Street,Queens,3/23/2020
Northern Boulevard and 89th Street,Queens,8/5/2019
Northern Boulevard and 90th Street               ,Queens,4/25/2018
Northern Boulevard and 99th Street,Queens,8/10/2020
Northern Boulevard and Alley Pond Environmental Center (750’ East of Cross Island NB),Queens,8/30/2018
Northern Boulevard and Sanford Avenue,Queens,6/17/2022
Northern Boulevard at 104th Street,Queens,6/1/2020
Northern Boulevard at 155th Street,Queens,6/9/2020
Northern Boulevard at 167th Street,Queens,6/8/2020
Northern Boulevard at 211th Street,Queens,3/20/2014
Northern Boulevard at 79th Street ,Queens,3/30/2020
Northern Boulevard at 93rd Street,Queens,6/3/2020
Northern Boulevard with Roosevelt Avenue and 156th Street,Queens,11/1/2016
Park Drive East at 136th Street,Queens,1/16/2020
Parsons Boulevard at Franklin Avenue,Queens,9/24/2020
Queens Boulevard (eastbound) and Woodhaven Boulevard,Queens,4/23/2012
Queens Boulevard (westbound) and Woodhaven Boulevard,Queens,3/14/2012
Queens Boulevard and 32nd Place,Queens,7/21/2020
Queens Boulevard and 35th Street,Queens,4/18/2020
Queens Boulevard and 36th Street,Queens,8/10/2021
Queens Boulevard and 37th Street ,Queens,5/2/2019
Queens Boulevard and 39th Street ,Queens,5/3/2019
Queens Boulevard and 40th Street,Queens,3/24/2022
Queens Boulevard and 41st Street ,Queens,5/11/2019
Queens Boulevard and 42nd Street,Queens,2/26/2019
Queens Boulevard and 43rd Street,Queens,1/15/2020
Queens Boulevard and 45th Street,Queens,1/10/2020
Queens Boulevard and 58th Street,Queens,1/20/2014
Queens Boulevard and 66th Street (BQE East Bound Entrance),Queens,4/10/2022
Queens Boulevard and Queens Borough Hall,Queens,10/31/2015
Queens Boulevard at 38th Street,Queens,1/7/2020
Queens Boulevard at 39th Place,Queens,10/22/2019
Queens Boulevard between 72nd and 73rd Streets,Queens,11/10/2016
Queens Boulevard EB SR and Union Turnpike SB SR,Queens,9/25/2021
Queens Boulevard with 57th Avenue and Hoffman Drive,Queens,1/19/2022
Queens Boulevard with 64th Avenue and 64th Road,Queens,3/30/2021
Queens Boulevard with 68th Street and BQE Eastbound Entrance,Queens,3/3/2022
Queens Boulevard with 71st Avenue and 108th Street,Queens,3/7/2020
Queens Plaza North and 28th Street,Queens,8/13/2019
Review Avenue and 37th Street,Queens,8/13/2020
Rockaway Beach Boulevard and Beach 110th Street,Queens,6/14/2022
Rockaway Boulevard and 110th Street,Queens,5/9/2019
Rockaway Boulevard and 123rd Street ,Queens,8/6/2019
Rockaway Boulevard and 135th Street,Queens,11/3/2021
Rockaway Boulevard and 140th Street,Queens,4/7/2021
Rockaway Boulevard and 142nd Street,Queens,10/7/2019
Rockaway Boulevard and 98th Street ,Queens,8/13/2019
Rockaway Boulevard at 130th Street,Queens,1/14/2020
Rockaway Boulevard at 81st Street,Queens,6/20/2020
Rockaway Boulevard with 101st Avenue and 88th Street,Queens,10/8/2019
Rockaway Boulevard with 131st Street and Lincoln Street,Queens,4/9/2021
Rockaway Boulevard with 132nd Street and 120th Avenue,Queens,8/17/2020
Rockaway Boulevard with 84th Street and Digby Place,Queens,4/11/2019
Rockaway Boulevard with 85th Street and 97th Avenue,Queens,6/14/2022
Rockaway Boulevard with Foch Boulevard and 126th Street,Queens,1/5/2020
Roosevelt Avenue and 55th Street,Queens,5/4/2021
Roosevelt Avenue and 57th Street,Queens,3/5/2021
Roosevelt Avenue and 77th Street,Queens,5/16/2022
Roosevelt Avenue and 78th Street,Queens,5/25/2022
Roosevelt Avenue and 98th Street,Queens,6/7/2021
Roosevelt Avenue and Bowne Street,Queens,5/12/2021
"Roosevelt Avenue with Elmhurst Avenue, Case Street and 90th Street",Queens,4/8/2022
Roosevelt Avenue with Woodside Avenue and 59th Avenue,Queens,4/26/2021
Sayres Avenue with 111th Avenue and 177th Street,Queens,5/7/2021
Seneca Avenue and Cornelia Street,Queens,7/25/2014
Seneca Avenue and Stephen Street,Queens,4/6/2021
Skillman Avenue and 54th Street,Queens,10/8/2019
Springfield Boulevard at Amboy Lane,Queens,6/13/2020
Steinway Street and  440' north of 31st Avenue (midblock crossing),Queens,5/22/2018
Steinway Street between 34th Avenue and Broadway (midblock),Queens,7/26/2018
Steinway Street between Broadway and 31st Avenue (midblock),Queens,6/30/2018
Sutphin Boulevard and Archer Avenue,Queens,3/13/2017
Thomson Avenue and 31st Place (mid-block),Queens,5/27/2020
Union Street at 26th Avenue,Queens,7/21/2020
Union Turnpike and Francis Lewis Boulevard,Queens,3/7/2017
Union Turnpike and Springfield Boulevard,Queens,10/27/2016
Union Turnpike and Utopia Parkway,Queens,10/16/2019
Utopia Parkway and 75th Avenue,Queens,5/3/2022
Utopia Parkway and 76th Avenue,Queens,4/14/2021
Vernon Boulevard and 40th Avenue,Queens,11/30/2016
Whitney Avenue and Denman Street,Queens,8/26/2020
Woodhaven Boulevard (NB) and Long Island Epressway entrance ramp,Queens,3/14/2012
Woodhaven Boulevard and 64th Road,Queens,9/25/2019
Woodhaven Boulevard and 66th Avenue,Queens,7/3/2019
Woodhaven Boulevard and 86th Drive (East Leg),Queens,10/23/2018
Woodhaven Boulevard and 86th Drive (West Leg),Queens,10/23/2018
Woodhaven Boulevard and Forest Park Drive,Queens,3/30/2017
Woodhaven Boulevard and Metropolitan Avenue,Queens,9/25/2019
Woodhaven Boulevard at Park Lane South,Queens,1/14/2020
Woodhaven Boulevard East Service Road and 180’ South of Jamaica Avenue,Queens,10/23/2018
Woodhaven Boulevard West Service Road and 147’ South of Jamaica Avenue,Queens,10/23/2018
Woodhaven Boulevard with Penelope Avenue and 63rd Drive,Queens,3/20/2020
Yellowstone Boulevard and 63rd Avenue,Queens,11/20/2020
Yellowstone Boulevard and Austin Street ,Queens,12/6/2019
Yellowstone Boulevard and Groton Street,Queens,7/13/2020
Yellowstone Boulevard and Queens Boulevard,Queens,10/31/2018
Amboy Road at Poillon Avenue,Staten Island,6/8/2020
Amboy Road with Ridgecrest Avenue and Putnam Street,Staten Island,5/27/2022
Arden Avenue and Forest Green,Staten Island,5/16/2022
Bay Street and New Lane,Staten Island,6/21/2022
Bay Street and Townsend Avenue,Staten Island,8/24/2021
Bay Street with Front Street and Edgewater Street,Staten Island,6/13/2022
Brielle Avenue and Bradley Avenue,Staten Island,6/6/2022
Brielle Avenue and Gansevoort Boulevard (Wagner High School),Staten Island,5/25/2006
Brielle Avenue and Suffolk Avenue,Staten Island,5/18/2022
Castleton Avenue and Bard Avenue,Staten Island,7/21/2007
Castleton Avenue and Brighton Avenue (S.I. Center for Independent Living),Staten Island,1/19/2006
Castleton Avenue and Conyingham Avenue,Staten Island,2/16/2022
Clarke Avenue and Kensico Street,Staten Island,5/16/2022
Clove Road and Clove Lake Place,Staten Island,10/24/2016
Forest Avenue and Bement Avenue,Staten Island,12/10/2019
Forest Avenue and Davis Avenue,Staten Island,8/30/2019
Forest Avenue and Harbor Road,Staten Island,5/18/2022
Forest Avenue and North Mada Avenue,Staten Island,10/18/2021
Forest Avenue and Sanders Street ,Staten Island,2/6/2019
Foster Road and Ramona Avenue,Staten Island,5/16/2022
Howard Avenue and Hillside Avenue,Staten Island,9/24/2014
Hylan Boulevard and Bedford Avenue,Staten Island,10/9/2020
Hylan Boulevard and Huegenot Avenue,Staten Island,3/13/2019
Hylan Boulevard and Page Avenue,Staten Island,3/10/2020
Hylan Boulevard and West Fingerboard Road,Staten Island,5/19/2021
Hylan Boulevard and Yetman Avenue,Staten Island,3/10/2020
Hylan Boulevard at Arbutus Avenue,Staten Island,1/5/2020
Hylan Boulevard at Tysens Lane,Staten Island,10/22/2019
Hylan Boulevard with Ebbitts Street and Allison Avenue,Staten Island,6/4/2021
Hylan Boulevard with Wendy Drive and St. Joseph’s High School ,Staten Island,5/31/2019
Innis Street and Trantor Place,Staten Island,10/23/2019
New Dorp Lane (mid-block) between Hylan Boulevard and Mill Road,Staten Island,10/19/2018
North Railroad Avenue and Fremont Avenue ,Staten Island,12/11/2019
Post Avenue and Decker Avenue,Staten Island,6/4/2022
Richmond Avenue and Monsey Place,Staten Island,10/7/2020
Richmond Avenue and Wilson Avenue ,Staten Island,5/18/2022
Richmond Road with Todt Hill Road and Greeley Avenue,Staten Island,5/3/2022
Richmond Terrace and Alaska Street,Staten Island,9/21/2021
Richmond Terrace and Sharpe Avenue,Staten Island,5/18/2015
Richmond Terrace and St Peters Place,Staten Island,6/29/2022
Rockland Avenue and Brielle Avenue,Staten Island,5/27/2022
South Avenue and Lois Lane,Staten Island,6/23/2022
South Railroad Avenue and Fremont Avenue ,Staten Island,12/11/2019
Targee Street and Naples Street (235’ North of Venice Street),Staten Island,5/7/2015
Tompkins Avenue and Clifton Avenue,Staten Island,3/2/2022
Tompkins Avenue and Hill Street,Staten Island,10/19/2015
Vanderbilt Avenue and Targee Street,Staten Island,1/2/2019
Victory Boulevard and Cebra Avenue ,Staten Island,6/10/2022
Victory Boulevard and Clove Road ,Staten Island,5/1/2018
Victory Boulevard and Eddy Street,Staten Island,9/4/2014
Victory Boulevard and Royal Oak Road,Staten Island,2/24/2022
Woodrow Road with Billings Street and Tynan Street,Staten Island,5/5/2020
3rd Avenue and East 138th Street,the Bronx,10/18/2019
3rd Avenue and East 168th Street ,the Bronx,10/5/2020
3rd Avenue and East 178th Street,the Bronx,7/19/2019
3rd Avenue between East 169th Street and East 170th Street (mid-block) ,the Bronx,12/11/2018
Alexander Avenue and East 137th Street,the Bronx,11/12/2019
Alexander Avenue between East 135th Street and East 137th Street (mid-block),the Bronx,3/25/2020
Arthur Avenue and East 176th Street,the Bronx,3/14/2020
Astor Avenue and Colden Avenue,the Bronx,10/7/2015
Bailey Avenue and West 234th Street and Bailey Place,the Bronx,10/14/2015
Bartow Avenue and Baychester Avenue,the Bronx,11/22/2019
Bartow Avenue and Co-Op City Boulevard and Bay Plaza Boulevard,the Bronx,10/8/2015
Baychester Avenue and 200’ South of Donizetti Place (mid-block),the Bronx,12/26/2018
Baychester Avenue and Donizetti Place,the Bronx,6/3/2022
Baychester Avenue with Tillotson Avenue and Rombouts Avenue,the Bronx,9/9/2021
Boston Road and Bivona Street ,the Bronx,7/3/2019
Boston Road and Boller Avenue (South Leg),the Bronx,4/14/2021
Boston Road and East 212th Street/Pearsall Avenue,the Bronx,10/30/2015
Boston Road and Edson Avenue,the Bronx,3/30/2021
Boston Road and Secor Avenue,the Bronx,11/15/2019
Boston Road and Waring Avenue,the Bronx,3/25/2021
Boston Road with Dyre Avenue and Steenwick Avenue,the Bronx,3/19/2021
Broadway and Mosholu Avenue,the Bronx,2/18/2022
Broadway and Van Cortlandt Park  (580' South of 251st Street),the Bronx,1/1/2017
Broadway and West 232nd Street,the Bronx,4/7/2022
Broadway with West 240th Street and Van Cortlandt Park South,the Bronx,2/4/2022
Bronx and Pelham Parkway South Eastbound at Seymour Avenue,the Bronx,1/9/2020
Bronxwood Avenue and 221st Street,the Bronx,10/11/2017
Bronxwood Avenue and East 213th Street,the Bronx,9/15/2017
Bronxwood Avenue and East 219th Street,the Bronx,2/3/2010
Bronxwood Avenue and East 220th Street,the Bronx,2/3/2010
Bronxwood Avenue and East 230th Street ,the Bronx,3/10/2022
Brook Avenue and East 163rd Street,the Bronx,9/23/2021
Bruckner Boulevard North Westbound and Boynton Avenue,the Bronx,3/18/2022
Burke Avenue and Yates Avenue,the Bronx,1/18/2017
City Island Avenue and Bowne Street,the Bronx,2/26/2020
Co-Op City Boulevard and 550’ North of Bellamy Loop North (mid-block) ,the Bronx,12/4/2019
Co-Op City Boulevard and Carver Loop East,the Bronx,10/9/2015
Co-Op City Boulevard and Rombouts Avenue and Carver Loop West,the Bronx,10/13/2015
Crosby Avenue and Coddington Avenue,the Bronx,3/12/2020
Cross Bronx Expressway Southbound Service Road and Entrance to Bronx River Parkway Northbound,the Bronx,6/11/2022
Crotona Avenue between East 181st and East 182nd Streets,the Bronx,9/21/2017
East 156th Street and Union Avenue,the Bronx,1/14/2022
East 161st Street and Grant Avenue (mid-block),the Bronx,4/2/2019
East 161st Street and Pedestrian Crossing (400’ West of River Avenue) (mid-block),the Bronx,3/8/2019
East 163rd Street and Eagle Avenue,the Bronx,3/29/2022
East 163rd Street and Rogers Place,the Bronx,3/2/2014
East 163rd Street between Trinity Avenue and Tinton Avenue (mid-block) ,the Bronx,12/11/2018
East 167th Street and Kelly Street,the Bronx,5/18/2021
East 170th Street and 150’ West of Grand Concourse ,the Bronx,4/29/2019
East 174th Street and Morrison Avenue,the Bronx,8/30/2021
East 174th Street and Stratford Avenue,the Bronx,4/18/2020
East 175th Street and Townsend Avenue,the Bronx,9/17/2019
East 183rd Street at Creston Avenue,the Bronx,1/8/2020
East 189th Street and Park Avenue,the Bronx,6/18/2022
East 233rd Street and Carpenter Avenue,the Bronx,3/28/2017
East Fordham Road and 3rd Avenue,the Bronx,6/18/2022
East Fordham Road and Bathgate Avenue,the Bronx,1/29/2019
East Gun Hill Road and Arnow Avenue,the Bronx,11/22/2021
East Gun Hill Road and Fish Avenue,the Bronx,6/15/2022
East Gun Hill Road and Gunther Avenue,the Bronx,7/20/2018
East Gun Hill Road and Kings College Place,the Bronx,6/25/2019
East Gun Hill Road and Putnam Place,the Bronx,10/29/2021
East Gun Hill Road with Holland Avenue and Tilden Street,the Bronx,1/9/2020
East Gun Hill Road with Perry Ave and Reservoir Place,the Bronx,4/18/2019
East Gun Hill Road with Seymour Avenue and Sexton Place,the Bronx,5/7/2022
East Tremont Avenue and Coddington Avenue,the Bronx,6/18/2022
East Tremont Avenue and Creston Avenue,the Bronx,9/3/2019
East Tremont Avenue and Dudley Avenue,the Bronx,5/14/2022
East Tremont Avenue and Jerome Avenue,the Bronx,1/3/2019
East Tremont Avenue and Lehman High School (mid-block) ,the Bronx,12/7/2018
East Tremont Avenue at Purdy Street,the Bronx,7/29/2020
East Tremont Avenue with Hutchinson River Parkway and Ericson Place,the Bronx,1/18/2017
Eastchester Road and Jarrett Place,the Bronx,10/14/2020
Eastchester Road and Waters Place,the Bronx,6/29/2022
Edward L Grant Highway and Shakespeare Avenue,the Bronx,9/9/2021
Edward L Grant Highway and West 170th Avenue,the Bronx,2/5/2021
Edward L Grant Hwy and West 169 Street,the Bronx,8/18/2016
Ft. Independence Street and Heath Avenue,the Bronx,3/18/2022
Goulden Avenue and Lehman College High School,the Bronx,6/26/2013
Grand Concourse and East 193rd Street,the Bronx,5/16/2022
Grand Concourse and Fordham Road,the Bronx,7/19/2012
Independence Avenue and West 235th Street,the Bronx,3/2/2022
Independence Avenue and West 239th Street,the Bronx,5/5/2022
Jerome Avenue and Buchanan Place ,the Bronx,8/9/2019
Jerome Avenue and East 169th Street,the Bronx,11/21/2019
Jerome Avenue and East 183rd Street ,the Bronx,9/1/2019
Jerome Avenue and Goble Place,the Bronx,4/24/2021
Jerome Avenue and Shakespeare Avenue,the Bronx,6/26/2022
Jerome Avenue and West 177th Street ,the Bronx,12/1/2019
Jerome Avenue and West 195th Street,the Bronx,4/16/2019
Jerome Avenue between East 208th Street and East Gun Hill Road (mid-block),the Bronx,2/21/2019
Jerome Avenue with Mosholu East and West Parkway,the Bronx,6/22/2021
Kappock Street and Netherland Avenue,the Bronx,5/2/2007
Laconia Avenue and East 215 Street,the Bronx,8/21/2019
Lafayette Avenue and Thieriot Avenue,the Bronx,11/17/2021
Lafayette Avenue and Underhill Avenue,the Bronx,4/23/2021
Longwood Avenue and Hewitt Place,the Bronx,12/6/2021
Mace Avenue and Colden Avenue,the Bronx,6/13/2014
Manhattan College Parkway and Waldo Avenue,the Bronx,11/22/2019
Morris Avenue and East 171st Street,the Bronx,2/8/2022
Morris Avenue and Teller Avenue,the Bronx,8/21/2020
Morris Park Avenue and Albert Einstein College of Medicine (mid-block),the Bronx,11/1/2011
Morris Park Avenue and East 180th Street,the Bronx,8/14/2020
Morris Park Avenue and Garfield Street,the Bronx,6/4/2022
Morris Park Avenue and Yates Avenue,the Bronx,6/14/2021
Mosholu Avenue and Fieldston Road,the Bronx,10/28/2021
Mosholu Avenue and West 256th Street ,the Bronx,11/29/2021
Park Avenue and East 158th Street ,the Bronx,12/12/2019
Pelham Parkway (WB) between Pearsall Avenue and Throop Avenue (mid-block),the Bronx,5/6/2022
Pelham Parkway and Narragansett Avenue,the Bronx,2/27/2019
Pelham Parkway N/S Service Roads and Williams Bridge Road,the Bronx,10/8/2015
Pelham Parkway North and Bronxwood Avenue,the Bronx,3/31/2022
Pelham Parkway North and Laconia Avenue,the Bronx,8/1/2014
Pelham Parkway South and Muliner Avenue,the Bronx,3/31/2022
Pelham Parkway South Service Road at Seymour Avenue,the Bronx,1/9/2020
Pugsley Avenue and Seward Avenue,the Bronx,5/24/2021
Randall Avenue and Manida Street,the Bronx,6/3/2021
Reservoir Avenue and University Avenue,the Bronx,6/4/2022
River Avenue and East 162nd Street,the Bronx,3/8/2017
Riverdale Avenue and West 256th Street,the Bronx,2/16/2022
Riverdale Avenue and West 259th Street,the Bronx,12/9/2021
Riverdale Avenue with West 231st Street and Irwin Avenue,the Bronx,3/12/2019
Sedgewick Avenue with Dickenson Avenue and Goulden Avenue,the Bronx,1/4/2019
Sedgwick Avenue and Undercliff Avenue,the Bronx,6/24/2022
Sedgwick Avenue and West 229th Street (mid-block),the Bronx,3/8/2019
Sedgwick Avenue and West 230th Street (mid-block),the Bronx,3/8/2019
Soundview Avenue at Thieriot Avenue (mid-block),the Bronx,6/24/2019
Southern Boulevard and East 189th Street (mid-block),the Bronx,3/11/2019
Southern Boulevard and Intervale Avenue,the Bronx,4/26/2019
Southern Boulevard and Leggett Avenue,the Bronx,11/19/2020
Southern Boulevard and Longwood Avenue,the Bronx,6/2/2022
Southern Boulevard with Crotona Parkway and East 176th Street,the Bronx,10/25/2019
Starling Avenue and Odell Street,the Bronx,6/22/2022
Starling Avenue and Olmstead Avenue,the Bronx,6/1/2022
Stillwell Avenue and Pelham Parkway South (Service Road),the Bronx,10/25/2019
Story Avenue and Bruckner Plaza Mall Exit/Entrance (between Boynton & Morrison Avenues),the Bronx,5/17/2017
Story Avenue at Thieriot Avenue,the Bronx,9/2/2020
Third Avenue and East 176th Street,the Bronx,10/28/2020
Third Avenue and St Pauls Place ,the Bronx,11/29/2021
Unionport Road and Crosswalk East of Metropolitan Oval (mid-block),the Bronx,9/10/2019
University Avenue (Martin Luther King Junior Boulevard) and Morton Place,the Bronx,3/28/2022
University Avenue and Macombs Road,the Bronx,3/13/2021
University Avenue and West 175th Street,the Bronx,5/17/2021
University Avenue and West 176th Street,the Bronx,4/30/2021
University Avenue and West 181st Street (mid-block),the Bronx,2/28/2019
University Avenue with Featherbed Lane and West 174th Street (mid-block),the Bronx,4/19/2019
Valentine Avenue and East 178th Street,the Bronx,10/28/2016
Valentine Avenue between East Tremont and East 178th Street,the Bronx,9/5/2013
Van Cortlandt Park East between East 239th Street and Oneida Avenue (mid-block),the Bronx,3/11/2019
Waring Avenue and Barker Avenue,the Bronx,8/26/2019
Watson Avenue and Colgate Avenue,the Bronx,9/20/2019
Webster Avenue 300' North of East 168th Street (mid-block),the Bronx,2/28/2019
Webster Avenue and East 189th Street,the Bronx,3/28/2022
Webster Avenue between East 169th and East 170th Street (mid-block),the Bronx,4/5/2019
Webster Avenue between East 170th Street and East 171st Street (mid-block),the Bronx,2/27/2019
Webster Avenue between East Gun Hill Road and East 233rd Street (mid-block),the Bronx,2/19/2019
Webster Avenue between East Tremont and East 178th Street,the Bronx,9/5/2013
West 169th Street with Cromwell Avenue and Inwood Avenue,the Bronx,8/12/2020
West 183rd Street and Andrews Avenue North,the Bronx,11/5/2021
West 230th Street and Corlear Avenue,the Bronx,1/26/2022
West Kingsbridge Road with Reservoir Avenue and Aqueduct Avenue West,the Bronx,12/21/2020
Westchester Avenue and West Farm Road,the Bronx,4/5/2020
"Westchester Avenue with Crosby, Buhre and Edison Avenues",the Bronx,9/22/2016
White Plains Road and Birchall Avenue,the Bronx,1/21/2021
White Plains Road and East 215th Street,the Bronx,12/2/2021
White Plains Road and Lydig Avenue,the Bronx,7/25/2014
White Plains Road and Rosewood Street,the Bronx,5/10/2022
White Plains Road and Unionport Road,the Bronx,12/30/2020
White Plains Road with Bronxdale Avenue and Unionport Road,the Bronx,12/24/2020
Williamsbridge Road and Astor Avenue      ,the Bronx,4/11/2018
Williamsbridge Road and Pierce Avenue,the Bronx,5/24/2022
Williamsbridge Road and Sacket Avenue,the Bronx,5/27/2022
Williamsbridge Road and Van Nest Avenue,the Bronx,6/8/2022
Williamsbridge Road between Mace Avenue and Waring Avenue,the Bronx,6/29/2022
